File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\HeightFieldShape3.cpp,196,148,77,10,35,0,13,35,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\IComponentDebugRenderer.cpp,731,605,287,21,113,0,13,71,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Input.cpp,162,121,81,9,32,0,9,28,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\InputStream.cpp,298,231,113,17,47,0,20,46,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\IO.cpp,56,37,19,5,11,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\IVector2.cpp,15,6,5,0,1,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\IVector3.cpp,16,7,6,0,1,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\IVector4.cpp,17,8,7,0,1,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Layer.cpp,77,53,25,8,14,0,10,19,8,17
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Line2.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Line3.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\List.cpp,10,2,1,0,0,0,8,27,8,27
C:\EpicForceBackup\EpicForceEngine\EpicForceEngine\MagnumEngineLib\MagnumCore\Lozenge3.cpp,10,2,1,0,0,0,8,27,8,27
